artist,track,url
"Charli xcx","Club classics","https://www.youtube.com/embed/ZqUfXljALQE?autoplay=1&start=36&end=66&controls=0"
"Steve Lacy","Mercury","https://www.youtube.com/embed/EQMhdH39u2I?autoplay=1&start=50&end=80&controls=0"
"Chase Atlantic","RICOCHET","https://www.youtube.com/embed/OfpkLxoFEBM?autoplay=1&start=57&end=87&controls=0"
"d4vd","NEVER AGAIN","https://www.youtube.com/embed/6flu5-tvinY?autoplay=1&start=50&end=80&controls=0"
"Paramore","Still into You","https://www.youtube.com/embed/Q_fmW9RPCqM?autoplay=1&start=57&end=87&controls=0"
"Kesha","TiK ToK","https://www.youtube.com/embed/KiYIzMvdRzY?autoplay=1&start=59&end=89&controls=0"
"Orelsan","Jour meilleur","https://www.youtube.com/embed/ZT6IYZor9e8?autoplay=1&start=36&end=66&controls=0"
"overrated","Addicted","https://www.youtube.com/embed/A0XN8fC64jM?autoplay=1&start=57&end=87&controls=0"
"d4vd","DTN","https://www.youtube.com/embed/htPKRYIWG8o?autoplay=1&start=35&end=65&controls=0"
"Kvi Baba","TOMBI","https://www.youtube.com/embed/-RQTxqPc5T0?autoplay=1&start=44&end=74&controls=0"
"Julien Doré","Le lac","https://www.youtube.com/embed/9UXSWGsjAUQ?autoplay=1&start=48&end=78&controls=0"
"Metro Boomin","Hummingbird (Metro Boomin & James Blake)","https://www.youtube.com/embed/TENzstSjsus?autoplay=1&start=52&end=82&controls=0"
"Miki","cartoon sex","https://www.youtube.com/embed/MCEHjcsH4RQ?autoplay=1&start=56&end=86&controls=0"
"The Weeknd","High For This","https://www.youtube.com/embed/sX9DgavXiN4?autoplay=1&start=54&end=84&controls=0"
"Luther","BLAKE & MORTIMER","https://www.youtube.com/embed/PfTcRGNipN0?autoplay=1&start=39&end=69&controls=0"
"HARDSTYLE CVNT","LIGHTS","https://www.youtube.com/embed/wxGiEem45yU?autoplay=1&start=40&end=70&controls=0"
"Lady Gaga","Paparazzi","https://www.youtube.com/embed/rSZ50vs9OXs?autoplay=1&start=51&end=81&controls=0"
